settlement_id,order_id,order_no,amount,expected_amount,fee,type,date,status,platform
STL-20260041,ORD-20260041,ORD-20260041,449.7,449.7,22.49,settlement,2026-07-28,completed,eBay
STL-20260042,ORD-20260042,ORD-20260042,199.9,199.9,10.0,settlement,2026-07-27,completed,Shopify
STL-20260043,ORD-20260043,ORD-20260043,499.8,499.8,24.99,settlement,2026-07-26,completed,Shopee
STL-20260044,ORD-20260044,ORD-20260044,899.7,899.7,44.98,settlement,2026-07-25,completed,Amazon
STL-20260045,ORD-20260045,ORD-20260045,94.91,99.9,4.75,settlement,2026-07-24,completed,eBay
STL-20260046,ORD-20260046,ORD-20260046,299.8,299.8,14.99,settlement,2026-07-23,completed,Shopify
STL-20260047,ORD-20260047,ORD-20260047,599.7,599.7,29.99,settlement,2026-07-22,completed,Shopee
STL-20260048,ORD-20260048,ORD-20260048,249.9,249.9,12.5,settlement,2026-07-21,completed,Amazon
STL-20260049,ORD-20260049,ORD-20260049,599.8,599.8,29.99,settlement,2026-07-20,completed,eBay
STL-20260050,ORD-20260050,ORD-20260050,299.7,299.7,14.99,settlement,2026-07-19,completed,Shopify
STL-20260051,ORD-20260051,ORD-20260051,149.9,149.9,7.5,settlement,2026-07-18,completed,Shopee
STL-20260052,ORD-20260052,ORD-20260052,399.8,399.8,19.99,settlement,2026-07-17,completed,Amazon
STL-20260053,ORD-20260053,ORD-20260053,749.7,749.7,37.49,settlement,2026-07-16,completed,eBay
STL-20260054,ORD-20260054,ORD-20260054,299.9,299.9,14.99,settlement,2026-07-15,completed,Shopify
STL-20260055,ORD-20260055,ORD-20260055,199.8,199.8,9.99,settlement,2026-07-14,completed,Shopee
STL-20260056,ORD-20260056,ORD-20260056,449.7,449.7,22.49,settlement,2026-07-13,completed,Amazon
STL-20260057,ORD-20260057,ORD-20260057,199.9,199.9,10.0,settlement,2026-07-12,completed,eBay
STL-20260058,ORD-20260058,ORD-20260058,499.8,499.8,24.99,settlement,2026-07-11,completed,Shopify
STL-20260059,ORD-20260059,ORD-20260059,899.7,899.7,44.98,settlement,2026-07-10,completed,Shopee
STL-20260060,ORD-20260060,ORD-20260060,94.91,99.9,4.75,settlement,2026-08-08,completed,Amazon
STL-20260061,ORD-20260061,ORD-20260061,299.8,299.8,14.99,settlement,2026-08-07,completed,eBay
STL-20260062,ORD-20260062,ORD-20260062,599.7,599.7,29.99,settlement,2026-08-06,completed,Shopify
STL-20260063,ORD-20260063,ORD-20260063,249.9,249.9,12.5,settlement,2026-08-05,completed,Shopee
STL-20260064,ORD-20260064,ORD-20260064,599.8,599.8,29.99,settlement,2026-08-04,completed,Amazon
STL-20260065,ORD-20260065,ORD-20260065,299.7,299.7,14.99,settlement,2026-08-03,completed,eBay
STL-20260066,ORD-20260066,ORD-20260066,149.9,149.9,7.5,settlement,2026-08-02,completed,Shopify
STL-20260067,ORD-20260067,ORD-20260067,399.8,399.8,19.99,settlement,2026-08-01,completed,Shopee
STL-20260068,ORD-20260068,ORD-20260068,749.7,749.7,37.49,settlement,2026-07-31,completed,Amazon
STL-20260069,ORD-20260069,ORD-20260069,299.9,299.9,14.99,settlement,2026-07-30,completed,eBay
STL-20260070,ORD-20260070,ORD-20260070,199.8,199.8,9.99,settlement,2026-07-29,completed,Shopify
STL-20260071,ORD-20260071,ORD-20260071,449.7,449.7,22.49,settlement,2026-07-28,completed,Shopee
STL-20260072,ORD-20260072,ORD-20260072,199.9,199.9,10.0,settlement,2026-07-27,completed,Amazon
STL-20260073,ORD-20260073,ORD-20260073,499.8,499.8,24.99,settlement,2026-07-26,completed,eBay
STL-20260074,ORD-20260074,ORD-20260074,899.7,899.7,44.98,settlement,2026-07-25,completed,Shopify
STL-20260075,ORD-20260075,ORD-20260075,94.91,99.9,4.75,settlement,2026-07-24,completed,Shopee
STL-20260076,ORD-20260076,ORD-20260076,299.8,299.8,14.99,settlement,2026-07-23,completed,Amazon
STL-20260077,ORD-20260077,ORD-20260077,599.7,599.7,29.99,settlement,2026-07-22,completed,eBay
STL-20260078,ORD-20260078,ORD-20260078,249.9,249.9,12.5,settlement,2026-07-21,completed,Shopify
STL-20260079,ORD-20260079,ORD-20260079,599.8,599.8,29.99,settlement,2026-07-20,completed,Shopee
STL-20260080,ORD-20260080,ORD-20260080,299.7,299.7,14.99,settlement,2026-07-19,completed,Amazon
STL-20260081,ORD-20260081,ORD-20260081,149.9,149.9,7.5,settlement,2026-07-18,completed,eBay
STL-20260082,ORD-20260082,ORD-20260082,399.8,399.8,19.99,settlement,2026-07-17,completed,Shopify
STL-20260083,ORD-20260083,ORD-20260083,749.7,749.7,37.49,settlement,2026-07-16,completed,Shopee
STL-20260084,ORD-20260084,ORD-20260084,299.9,299.9,14.99,settlement,2026-07-15,completed,Amazon
STL-20260085,ORD-20260085,ORD-20260085,199.8,199.8,9.99,settlement,2026-07-14,completed,eBay
STL-20260086,ORD-20260086,ORD-20260086,449.7,449.7,22.49,settlement,2026-07-13,completed,Shopify
STL-20260087,ORD-20260087,ORD-20260087,199.9,199.9,10.0,settlement,2026-07-12,completed,Shopee
STL-20260088,ORD-20260088,ORD-20260088,499.8,499.8,24.99,settlement,2026-07-11,completed,Amazon
STL-20260089,ORD-20260089,ORD-20260089,899.7,899.7,44.98,settlement,2026-07-10,completed,eBay
STL-20260090,ORD-20260090,ORD-20260090,94.91,99.9,4.75,settlement,2026-08-08,completed,Shopify
STL-20260091,ORD-20260091,ORD-20260091,299.8,299.8,14.99,settlement,2026-08-07,completed,Shopee
STL-20260092,ORD-20260092,ORD-20260092,599.7,599.7,29.99,settlement,2026-08-06,completed,Amazon
STL-20260093,ORD-20260093,ORD-20260093,249.9,249.9,12.5,settlement,2026-08-05,completed,eBay
STL-20260094,ORD-20260094,ORD-20260094,599.8,599.8,29.99,settlement,2026-08-04,completed,Shopify
STL-20260095,ORD-20260095,ORD-20260095,299.7,299.7,14.99,settlement,2026-08-03,completed,Shopee
STL-20260096,ORD-20260096,ORD-20260096,149.9,149.9,7.5,settlement,2026-08-02,completed,Amazon
STL-20260097,ORD-20260097,ORD-20260097,399.8,399.8,19.99,settlement,2026-08-01,completed,eBay
STL-20260098,ORD-20260098,ORD-20260098,749.7,749.7,37.49,settlement,2026-07-31,completed,Shopify
STL-20260099,ORD-20260099,ORD-20260099,299.9,299.9,14.99,settlement,2026-07-30,completed,Shopee
STL-20260100,ORD-20260000,ORD-20260000,99.9,99.9,5.0,duplicate,2026-07-29,completed,Amazon
STL-20260101,ORD-20260001,ORD-20260001,299.8,299.8,14.99,duplicate,2026-07-28,completed,eBay
STL-20260102,ORD-20260002,ORD-20260002,599.7,599.7,29.99,duplicate,2026-07-27,completed,Shopify
STL-20260103,ORD-20260003,ORD-20260003,249.9,249.9,12.5,duplicate,2026-07-26,completed,Shopee
STL-20260104,ORD-20260004,ORD-20260004,599.8,599.8,29.99,duplicate,2026-07-25,completed,Amazon
STL-20260105,ORD-20260005,ORD-20260005,299.7,299.7,14.99,settlement,2026-07-24,completed,eBay
STL-20260106,ORD-20260006,ORD-20260006,149.9,149.9,7.5,settlement,2026-07-23,completed,Shopify
STL-20260107,ORD-20260007,ORD-20260007,399.8,399.8,19.99,settlement,2026-07-22,completed,Shopee
STL-20260108,ORD-20260008,ORD-20260008,749.7,749.7,37.49,settlement,2026-07-21,completed,Amazon
STL-20260109,ORD-20260009,ORD-20260009,299.9,299.9,14.99,settlement,2026-07-20,completed,eBay
STL-20260110,ORD-20260010,ORD-20260010,199.8,199.8,9.99,settlement,2026-07-19,completed,Shopify
STL-20260111,ORD-20260011,ORD-20260011,449.7,449.7,22.49,settlement,2026-07-18,completed,Shopee
STL-20260112,ORD-20260012,ORD-20260012,199.9,199.9,10.0,settlement,2026-07-17,completed,Amazon
STL-20260113,ORD-20260013,ORD-20260013,499.8,499.8,24.99,settlement,2026-07-16,completed,eBay
STL-20260114,ORD-20260014,ORD-20260014,899.7,899.7,44.98,settlement,2026-07-15,completed,Shopify
STL-20260115,ORD-20260015,ORD-20260015,99.9,99.9,5.0,settlement,2026-07-14,completed,Shopee
STL-20260116,ORD-20260016,ORD-20260016,299.8,299.8,14.99,settlement,2026-07-13,completed,Amazon
STL-20260117,ORD-20260017,ORD-20260017,599.7,599.7,29.99,settlement,2026-07-12,completed,eBay
STL-20260118,ORD-20260018,ORD-20260018,249.9,249.9,12.5,settlement,2026-07-11,completed,Shopify
STL-20260119,ORD-20260019,ORD-20260019,599.8,599.8,29.99,settlement,2026-07-10,completed,Shopee
