tracking_no,waybill,order_id,status,carrier,weight,shipping_fee,goods_value,promised_days,actual_days,date,update_time
SF2026000040,SF2026000040,ORD-20260040,丢件,顺丰,0.5,15,199.8,5,0,2026-07-29,2026-08-03
YT2026000041,YT2026000041,ORD-20260041,已签收,圆通,0.8,20,449.70000000000005,5,3,2026-07-28,2026-07-31
ZT2026000042,ZT2026000042,ORD-20260042,已签收,中通,1.1,25,199.9,5,3,2026-07-27,2026-07-30
JD2026000043,JD2026000043,ORD-20260043,已签收,京东,1.4,30,499.8,5,3,2026-07-26,2026-07-29
UP2026000044,UP2026000044,ORD-20260044,已签收,UPS,1.7,35,899.6999999999999,5,3,2026-07-25,2026-07-28
SF2026000045,SF2026000045,ORD-20260045,已签收,顺丰,2.0,15,99.9,5,3,2026-07-24,2026-07-27
YT2026000046,YT2026000046,ORD-20260046,已签收,圆通,2.3,20,299.8,5,3,2026-07-23,2026-07-26
ZT2026000047,ZT2026000047,ORD-20260047,已签收,中通,2.6,25,599.7,5,3,2026-07-22,2026-07-25
JD2026000048,JD2026000048,ORD-20260048,已签收,京东,2.9,30,249.9,5,3,2026-07-21,2026-07-24
UP2026000049,UP2026000049,ORD-20260049,已签收,UPS,3.2,35,599.8,5,3,2026-07-20,2026-07-23
SF2026000050,SF2026000050,ORD-20260050,延误,顺丰,0.5,15,299.70000000000005,5,12,2026-07-19,2026-07-31
YT2026000051,YT2026000051,ORD-20260051,已签收,圆通,0.8,20,149.9,5,3,2026-07-18,2026-07-21
ZT2026000052,ZT2026000052,ORD-20260052,已签收,中通,1.1,25,399.8,5,3,2026-07-17,2026-07-20
JD2026000053,JD2026000053,ORD-20260053,已签收,京东,1.4,30,749.7,5,3,2026-07-16,2026-07-19
UP2026000054,UP2026000054,ORD-20260054,已签收,UPS,1.7,35,299.9,5,3,2026-07-15,2026-07-18
SF2026000055,SF2026000055,ORD-20260055,已签收,顺丰,2.0,15,199.8,5,3,2026-07-14,2026-07-17
YT2026000056,YT2026000056,ORD-20260056,已签收,圆通,2.3,20,449.70000000000005,5,3,2026-07-13,2026-07-16
ZT2026000057,ZT2026000057,ORD-20260057,已签收,中通,2.6,25,199.9,5,3,2026-07-12,2026-07-15
JD2026000058,JD2026000058,ORD-20260058,已签收,京东,2.9,30,499.8,5,3,2026-07-11,2026-07-14
UP2026000059,UP2026000059,ORD-20260059,已签收,UPS,3.2,35,899.6999999999999,5,3,2026-07-10,2026-07-13
SF2026000060,SF2026000060,ORD-20260060,已签收,顺丰,0.5,15,99.9,5,3,2026-08-08,2026-08-11
YT2026000061,YT2026000061,ORD-20260061,已签收,圆通,0.8,20,299.8,5,3,2026-08-07,2026-08-10
ZT2026000062,ZT2026000062,ORD-20260062,已签收,中通,1.1,25,599.7,5,3,2026-08-06,2026-08-09
JD2026000063,JD2026000063,ORD-20260063,已签收,京东,1.4,30,249.9,5,3,2026-08-05,2026-08-08
UP2026000064,UP2026000064,ORD-20260064,已签收,UPS,1.7,35,599.8,5,3,2026-08-04,2026-08-07
SF2026000065,SF2026000065,ORD-20260065,已签收,顺丰,2.0,15,299.70000000000005,5,3,2026-08-03,2026-08-06
YT2026000066,YT2026000066,ORD-20260066,已签收,圆通,2.3,20,149.9,5,3,2026-08-02,2026-08-05
ZT2026000067,ZT2026000067,ORD-20260067,已签收,中通,2.6,25,399.8,5,3,2026-08-01,2026-08-04
JD2026000068,JD2026000068,ORD-20260068,已签收,京东,2.9,30,749.7,5,3,2026-07-31,2026-08-03
UP2026000069,UP2026000069,ORD-20260069,已签收,UPS,3.2,35,299.9,5,3,2026-07-30,2026-08-02
SF2026000070,SF2026000070,ORD-20260070,已签收,顺丰,0.5,15,199.8,5,3,2026-07-29,2026-08-01
YT2026000071,YT2026000071,ORD-20260071,已签收,圆通,0.8,20,449.70000000000005,5,3,2026-07-28,2026-07-31
ZT2026000072,ZT2026000072,ORD-20260072,已签收,中通,1.1,25,199.9,5,3,2026-07-27,2026-07-30
JD2026000073,JD2026000073,ORD-20260073,已签收,京东,1.4,30,499.8,5,3,2026-07-26,2026-07-29
UP2026000074,UP2026000074,ORD-20260074,已签收,UPS,1.7,35,899.6999999999999,5,3,2026-07-25,2026-07-28
SF2026000075,SF2026000075,ORD-20260075,已签收,顺丰,2.0,15,99.9,5,3,2026-07-24,2026-07-27
YT2026000076,YT2026000076,ORD-20260076,已签收,圆通,2.3,20,299.8,5,3,2026-07-23,2026-07-26
ZT2026000077,ZT2026000077,ORD-20260077,已签收,中通,2.6,25,599.7,5,3,2026-07-22,2026-07-25
JD2026000078,JD2026000078,ORD-20260078,已签收,京东,2.9,30,249.9,5,3,2026-07-21,2026-07-24
UP2026000079,UP2026000079,ORD-20260079,已签收,UPS,3.2,35,599.8,5,3,2026-07-20,2026-07-23
